	Order	Family	Genus	Species	animal	TOTALINNOVATIONS2025	FOODINNO2025	TECHINNO2025	TOTALINNOVATIONS2025_ResEff	FOODINNO2025_ResEff	TECHINNO2025_ResEff	Range.Size	ResearchEffort	DietBreadth	HabitatBreadth	GenerationLength	GenerationLengthFULL	MaxLongevity	Insularity	UrbanFULL	IUCNStatus2019	StatusCode	PopulationTrend2019	TrendCode	HabitatDestruction	Overexploitation	InvasiveSpecies	CriterionB	Brain_size	Relative_brain_size	Beak_length.Culmen	Beak_length.Nares	Beak_width	Beak_depth	Tarsus_length	Wing_length	Kipps_distance	Secondary1	Hand.Wing_index	Tail_length	Mass	Habitat	Habitat_density	Migration	Trophic_level	Trophic_niche	Primary_lifestyle	Range_size	buildingcoll	lbuildingcoll	buildingcoll_mig	lbuildingcoll_mig	buildingcoll_nonmig	lbuildingcoll_nonmig	rawtowercoll	ltowercollnonzero	rawturbinecoll	lturbinecollnonxero	ALLcoll	Abundance.estimate
6888	PASSERIFORMES	FRINGILLIDAE	Serinus	Serinus_canaria	Serinus_canaria	2	2	0	0.164368226	0.459867183	-0.529018418	10522.09	425	3	3.653862389	3.8	4.367615726	24	1	0	Least-Concern	1	stable	2	0	0	0	NO	0.644	-0.283	12	7.1	5.1	6.6	16.6	71.4	19.8	51.5	27.7	58.3	24.3	Woodland	2	1	Herbivore	Granivore	Generalist	10522.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6078108
4405	PASSERIFORMES	FRINGILLIDAE	Carduelis	Carduelis_carduelis	Carduelis_carduelis	4	2	2	0.785626225	0.535549573	0.634686988	11860717.87	210	3	5.073552104	4.2	2.528040959	11.75	0	1	Least-Concern	1	increasing	3	0	0	0	NO	0.658	-0.027	15.4	11.2	5.5	7.2	14.7	77.4	25.8	51.6	33.4	48.6	16	Woodland	2	1	Herbivore	Granivore	Insessorial	11860717.87	3	0.477121255	2	0.3	1	0	NA	NA	1	0	0.602059991	45952282
6015	PASSERIFORMES	FRINGILLIDAE	Loxia	Loxia_curvirostra	Loxia_curvirostra	5	3	2	0.877977779	0.761572691	0.581655185	22671334.66	373	3	1.744632768	3.4	3.161850713	16.1	0	1	Least-Concern	1	stable	2	0	0	0	NO	1.429	0.259	19	16.1	6.8	11.4	16.6	96	36	59.6	37.6	57.3	38.29	Forest	1	2	Herbivore	Granivore	Insessorial	22671334.66	8	0.903089987	6	0.78	2	0.3	NA	NA	1	0	0.954242509	33051248
3402	PASSERIFORMES	FRINGILLIDAE	Acanthis	Acanthis_flammea	Carduelis_flammea	5	4	1	0.95645913	1.038501704	0.222450024	19794267.79	226	3	3.402173913	4.5	2.592005464	12.2	0	0	Least-Concern	1	decreasing	1	0	0	0	NO	0.598	-0.006	11.4	7.8	4.5	6.5	15.6	75.8	25	50.7	33.1	58.7	13	Forest	1	2	Herbivore	Granivore	Generalist	19794267.79	30	1.477121255	19	1.28	11	1.04	3	0.477121255	NA	NA	1.51851394	255561375
4224	PASSERIFORMES	FRINGILLIDAE	Haemorhous	Haemorhous_mexicanus	Carpodacus_mexicanus	2	1	1	0.159643356	0.05116399	0.161343742	10299459.91	438	3	3.510383556	4.1	2.506719457	11.6	0	1	Least-Concern	1	increasing	3	0	0	0	NO	0.786	-0.012	10.6	8.4	6.6	8.2	17.4	77.2	21.2	55.8	27.5	66.2	21.4	Shrubland	2	2	Herbivore	Granivore	Insessorial	10299459.91	170	2.230448921	116	2.06	50	1.7	NA	NA	20	1.301029996	2.278753601	82119779
3942	PASSERIFORMES	FRINGILLIDAE	Pyrrhula	Pyrrhula_pyrrhula	Pyrrhula_pyrrhula	3	2	1	0.537721928	0.518580343	0.214626938	17864017.39	246	3	3.416801292	4.8	3.345684017	17.5	0	1	Least-Concern	1	decreasing	1	0	0	0	NO	0.862	0.01	13.1	8.6	8.2	9	18	88.6	22.1	66.7	24.9	68.3	24.26	Forest	2	1	Herbivore	Omnivore	Insessorial	17864017.39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19401419
3516	PASSERIFORMES	FRINGILLIDAE	Carpodacus	Carpodacus_erythrinus	Carpodacus_erythrinus	1	1	0	-0.162881873	0.108005005	-0.482915463	23264611.24	258	4	4.560620114	4.1	2.23998474	9.723480796	0	0	Least-Concern	1	decreasing	1	0	0	0	NO	NA	NA	12	8	6.8	7.9	16.4	80.2	24.7	55.8	30.8	58.6	23.97	Shrubland	2	3	Herbivore	Granivore	Insessorial	23264611.24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28260994
4457	PASSERIFORMES	FRINGILLIDAE	Fringilla	Fringilla_coelebs	Fringilla_coelebs	10	7	3	1.388078311	1.388904219	0.812730351	13931193.45	688	3	4.810023655	5.7	4.980850384	29	0	1	Least-Concern	1	increasing	3	0	0	0	NO	0.818	-0.032	14.7	9.8	5.5	6.7	17.8	85.9	23.7	62.2	27.6	65.9	23.81	Forest	2	2	Omnivore	Invertivore	Generalist	13931193.45	3	0.477121255	3	0.48	0	NA	NA	NA	NA	NA	0.477121255	48580457
3654	PASSERIFORMES	FRINGILLIDAE	Fringilla	Fringilla_montifringilla	Fringilla_montifringilla	1	1	0	-0.181192699	0.095456085	-0.493708573	13666715.85	290	2	3.897311698	5.7	2.990932932	15.00651527	0	0	Least-Concern	1	decreasing	1	0	0	0	NO	0.711	-0.158	14.4	9.5	5.9	7.4	19	89.3	29	60.3	32.5	61.7	23.19	Forest	1	3	Herbivore	Omnivore	Generalist	13666715.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38063448
7236	PASSERIFORMES	MOTACILLIDAE	Anthus	Anthus_spinoletta	Anthus_spinoletta	2	2	0	0.273317751	0.534533335	-0.46479935	3806294.97	212	3	5.005859375	3.7	2.168276538	8.817	0	0	Least-Concern	1	stable	2	0	0	0	NO	0.755	-0.115	16.4	9.7	3.1	3.4	22.9	86.9	20.4	66.5	23.4	63.3	23.9	Grassland	3	3	Carnivore	Invertivore	Terrestrial	3806294.97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14704144
3448	PASSERIFORMES	MOTACILLIDAE	Anthus	Anthus_pratensis	Anthus_pratensis	1	1	0	-0.150250104	0.116661909	-0.475469809	6733599.47	238	2	6.395864106	3.8	2.174634737	8.8	0	0	Near-Threatened	2	decreasing	1	1	0	0	NO	0.517	-0.346	14.2	8.1	3.1	3.1	21.5	77.8	18.9	58.7	24.3	56.3	18.4	Grassland	3	2	Carnivore	Invertivore	Terrestrial	6733599.47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	245281141
7741	PASSERIFORMES	MOTACILLIDAE	Motacilla	Motacilla_alba	Motacilla_alba	11	4	7	1.543451187	0.965750634	1.546172446	39488711.64	445	1	6.133211009	4.2	2.805220482	13.7	0	0	Least-Concern	1	stable	2	0	0	0	NO	0.608	-0.332	16.1	9.7	3.4	3.5	23.4	87	27.4	59.7	31.4	86.8	23.93	Human Modified	3	3	Carnivore	Invertivore	Terrestrial	39488711.64	3	0.477121255	3	0.48	0	NA	NA	NA	NA	NA	0.477121255	353854467
3785	PASSERIFORMES	MOTACILLIDAE	Motacilla	Motacilla_flava	Motacilla_flava	2	1	1	0.179866577	0.065023528	0.173264091	19198163.05	385	3	5.062411571	4.7	2.185110436	9.33743174	0	0	Least-Concern	1	decreasing	1	0	0	0	NO	0.552	-0.259	16	9.6	3.2	3.5	23.1	79.5	24.7	54.5	31.1	70.6	17.68	Grassland	3	3	Carnivore	Invertivore	Terrestrial	19198163.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	63739078
7742	PASSERIFORMES	MOTACILLIDAE	Motacilla	Motacilla_cinerea	Motacilla_cinerea	2	1	1	0.234885455	0.102729501	0.205694348	19613139.17	271	1	4.107456588	4.7	2.165996139	9.20295976	0	1	Least-Concern	1	stable	2	0	0	0	NO	NA	NA	17.4	10.8	3.1	3	18.2	82.8	28.6	54	34.6	94.4	17.15	Riverine	3	2	Carnivore	Invertivore	Terrestrial	19613139.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22323191
2153	PASSERIFORMES	PASSERIDAE	Passer	Passer_domesticus	Passer_domesticus	50	25	25	2.757122164	2.454557889	2.587342037	34407867.59	1966	3	6.718159831	6	3.726344591	19.9	0	1	Least-Concern	1	decreasing	1	0	0	0	NO	0.979	0.087	13.5	9.1	6.3	7.4	17.9	74.9	20.4	54.4	27.3	57.2	26.51	Human Modified	3	1	Herbivore	Granivore	Terrestrial	34407867.59	825	2.916453949	445	2.65	316	2.5	14	1.146128036	48	1.681241237	2.94792362	1618744682
2156	PASSERIFORMES	PASSERIDAE	Passer	Passer_montanus	Passer_montanus	5	4	1	0.806058033	0.935427633	0.133797795	39069801.39	590	2	3.416801292	5.8	2.719771587	13.08	0	1	Least-Concern	1	decreasing	1	0	0	0	NO	0.751	-0.058	13.2	8.2	5.5	6.5	16.4	67.9	16.7	51.2	24.6	51	21.39	Woodland	2	1	Omnivore	Granivore	Terrestrial	39069801.39	10	1	6	0.78	4	0.6	NA	NA	NA	NA	1	47643490
3903	PASSERIFORMES	PRUNELLIDAE	Prunella	Prunella_modularis	Prunella_modularis	6	3	3	1.102512864	0.809809089	0.910824552	6779516.3	238	2	5.065501808	4.6	3.814438231	20.8	0	1	Least-Concern	1	decreasing	1	0	0	0	NO	0.787	0.02	14	7.8	3.7	3.6	20.4	69.1	14.7	54.5	21.2	59.6	20.24	Forest	2	1	Omnivore	Invertivore	Terrestrial	6779516.3	1	0	1	0	0	NA	NA	NA	NA	NA	0	9347093
5612	PASSERIFORMES	ESTRILDIDAE	Estrilda	Taeniopygia_guttata	Taeniopygia_guttata	1	1	0	-0.355307427	-0.023869599	-0.596338534	83399.73	880	1	5	NA	1.570515365	7.075703508	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.447	-0.254	10	7.1	5.3	6.3	13.3	50.5	11.2	39.2	22.2	34.2	12.04	Grassland	2	2	Herbivore	Granivore	Terrestrial	83399.73	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47805757
4631	PASSERIFORMES	TURDIDAE	Turdus	Turdus_migratorius	Turdus_migratorius	10	6	4	1.499094526	1.331455338	1.101311157	16455945.96	339	2	4.53817086	5.3	3.146893471	14.48744403	0	1	Least-Concern	1	increasing	3	0	0	0	NO	1.66	0.006	23.4	12.5	5.6	6.8	32.7	127	36.9	90.3	29	95.7	78.5	Forest	3	3	Omnivore	Invertivore	Generalist	16455945.96	1146	3.059184618	742	2.87	404	2.61	6	0.77815125	43	1.633468456	3.077367905	561290332
7989	PASSERIFORMES	TURDIDAE	Turdus	Turdus_pilaris	Turdus_pilaris	4	3	1	0.695656222	0.761572691	0.176190077	15234795.02	373	2	4.884751204	5.2	3.427808333	18.08	0	0	Least-Concern	1	stable	2	0	0	0	NO	1.76	-0.104	25.4	12.8	5.8	6.5	33.4	144.4	48	96.1	33.3	105.9	106	Forest	1	3	Carnivore	Invertivore	Generalist	15234795.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34885231
4052	PASSERIFORMES	TURDIDAE	Turdus	Turdus_iliacus	Turdus_iliacus	2	1	1	0.258538192	0.118939382	0.219636187	11966382.53	233	3	5.708828621	5.2	3.526597957	18.775	0	1	Near-Threatened	2	decreasing	1	1	1	0	NO	1.364	-0.051	22.7	12.2	4.4	5.5	28	116.3	37.7	79	32.3	78.3	61.2	Forest	1	3	Omnivore	Invertivore	Insessorial	11966382.53	1	0	0	NA	1	0	NA	NA	NA	NA	0	34380367
4630	PASSERIFORMES	TURDIDAE	Turdus	Turdus_merula	Turdus_merula	29	19	10	2.324263814	2.259198067	1.784770137	10572243.36	1055	3	5.709822978	5.4	4.033978256	21.9	0	1	Least-Concern	1	increasing	3	1	1	1	NO	1.921	0.001	28.5	15.5	5.3	7.5	33.6	128.4	29.8	98.6	23.1	106.3	102.73	Forest	2	1	Omnivore	Omnivore	Generalist	10572243.36	11	1.041392685	8	0.9	3	0.48	NA	NA	NA	NA	1.041392685	354433630
4632	PASSERIFORMES	TURDIDAE	Turdus	Turdus_philomelos	Turdus_philomelos	10	8	2	1.468142399	1.56155741	0.572241152	13727296.63	413	2	4.92641737	5.3	3.369529561	17.67	0	1	Least-Concern	1	increasing	3	0	0	0	NO	1.649	0.082	23.1	11.9	5	5.7	31.8	116	35.7	80.5	30.7	81.7	67.74	Forest	1	3	Omnivore	Invertivore	Generalist	13727296.63	11	1.041392685	9	0.95	2	0.3	NA	NA	NA	NA	1.041392685	18106941
3703	PASSERIFORMES	TURDIDAE	Hylocichla	Hylocichla_mustelina	Hylocichla_mustelina	0	0	0	-0.82603075	-0.564583501	-0.465233301	3494414.7	213	2	2.350863107	4.1	2.404420008	10.32718086	0	0	Near-Threatened	2	decreasing	1	1	0	0	NO	1.261	-0.017	19	11.9	5.1	5.4	32.1	106.5	29	78.9	26.9	71.3	50.09	Forest	1	3	Omnivore	Invertivore	Generalist	3494414.7	506	2.704150517	485	2.69	10	1	684	2.835056102	21	1.322219295	3.083144143	18063546
4599	PASSERIFORMES	TURDIDAE	Sialia	Sialia_sialis	Sialia_sialis	3	3	0	0.537721928	0.806262416	-0.478520242	5460000	246	2	4.435101442	3.9	2.37074215	10.42	0	0	Least-Concern	1	increasing	3	0	0	0	NO	1.001	0.089	15.4	9.1	4.2	4.5	19.7	95.8	31.4	64.4	32.8	62.5	27.5	Woodland	2	2	Carnivore	Invertivore	Insessorial	5460000	13	1.113943352	12	1.08	1	0	5	0.698970004	4	0.602059991	1.342422681	60548459
3813	PASSERIFORMES	MUSCICAPIDAE	Oenanthe	Oenanthe_oenanthe	Oenanthe_oenanthe	5	4	1	0.900050795	0.999843496	0.189200767	29248291.46	324	2	5.922476956	4.1	2.246001873	9.6	0	0	Least-Concern	1	decreasing	1	1	1	0	NO	0.783	-0.112	17.9	9.9	3.7	3.7	27.3	95.1	30.5	64.6	32.1	56.7	25.39	Grassland	3	3	Carnivore	Invertivore	Insessorial	29248291.46	1	0	1	0	0	NA	NA	NA	NA	NA	0	8903286
8840	PASSERIFORMES	MUSCICAPIDAE	Saxicola	Saxicola_rubetra	Saxicola_rubetra	2	0	2	0.272581539	-0.564583501	0.633378987	10238944.41	213	2	4.656186613	NA	1.914827845	7.435952703	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	0.58	-0.174	14.7	8	3.6	3.8	22.3	76.5	20.4	55.9	26.7	47.3	16.6	Shrubland	2	3	Carnivore	Invertivore	Insessorial	10238944.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10362836
4556	PASSERIFORMES	MUSCICAPIDAE	Phoenicurus	Phoenicurus_phoenicurus	Phoenicurus_phoenicurus	4	4	0	0.734021447	1.011009002	-0.494343154	14485113.51	292	2	5.573560408	4.1	2.314825941	10.25	0	1	Least-Concern	1	increasing	3	0	0	0	NO	0.515	-0.22	13.9	7.8	3.3	3.4	21.6	77.9	20.2	58.1	25.8	58	14.59	Woodland	1	3	Carnivore	Invertivore	Insessorial	14485113.51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11327950
4555	PASSERIFORMES	MUSCICAPIDAE	Phoenicurus	Phoenicurus_ochruros	Phoenicurus_ochruros	3	2	1	0.478073393	0.477701537	0.179467782	13764225.49	360	2	4.407056799	4.1	2.412973526	10.17	0	1	Least-Concern	1	increasing	3	0	0	0	NO	0.725	0.053	15.4	8.1	2.8	2.9	22.4	83.1	19.2	64.1	23.1	60.4	16.5	Rock	3	2	Omnivore	Invertivore	Insessorial	13764225.49	1	0	0	NA	1	0	NA	NA	NA	NA	0	20799905
4455	PASSERIFORMES	MUSCICAPIDAE	Ficedula	Ficedula_albicollis	Ficedula_albicollis	0	0	0	-0.930510374	-0.636186304	-0.526817637	2473537.35	415	2	3.407588739	3.9	2.300183438	9.8	0	1	Least-Concern	1	increasing	3	0	0	0	NO	0.453	-0.27	12.4	6.1	3.8	3.2	16.3	80.6	25.6	54.8	31.9	51.6	12.69	Woodland	1	3	Carnivore	Invertivore	Insessorial	2473537.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4606301
3647	PASSERIFORMES	MUSCICAPIDAE	Ficedula	Ficedula_hypoleuca	Ficedula_hypoleuca	3	1	2	0.294325734	-0.053690972	0.476624906	7339714.14	1161	1	4.013404297	4.2	4.116172628	15	0	1	Least-Concern	1	decreasing	1	0	0	0	NO	0.46	-0.301	12.8	6.5	4.1	3.2	17.6	79.3	24.2	55.3	30.4	52.1	13.79	Forest	1	3	Carnivore	Invertivore	Insessorial	7339714.14	2	0.301029996	2	0.3	0	NA	NA	NA	NA	NA	0.301029996	12006736
7712	PASSERIFORMES	MUSCICAPIDAE	Luscinia	Luscinia_megarhynchos	Luscinia_megarhynchos	0	0	0	-0.850470013	-0.58133241	-0.479638749	6778462.19	249	2	4.769163763	4.2	2.410061982	10.92	0	1	Least-Concern	1	stable	2	0	0	0	NO	0.704	-0.073	16	8.8	3.5	3.7	26.4	84	23.2	61	27.6	68.2	19.6	Woodland	1	3	Carnivore	Invertivore	Generalist	6778462.19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12383545
4450	PASSERIFORMES	MUSCICAPIDAE	Erithacus	Erithacus_rubecula	Erithacus_rubecula	10	7	3	1.403905607	1.399751107	0.822059572	10001378.73	622	4	6.429223744	6	3.601223214	19.3	0	1	Least-Concern	1	increasing	3	0	0	0	NO	0.644	-0.105	14	7	2.9	3.3	24.5	71.6	14.2	57.3	19.9	56.9	17.7	Forest	1	3	Carnivore	Omnivore	Generalist	10001378.73	14	1.146128036	12	1.08	2	0.3	NA	NA	NA	NA	1.146128036	21261776
8757	PASSERIFORMES	MUSCICAPIDAE	Muscicapa	Muscicapa_striata	Muscicapa_striata	7	6	1	1.242762414	1.374029018	0.221637313	16752202.89	228	2	4.196791444	NA	2.552972847	11.8	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.495	-0.308	16.2	9.3	4.3	3.6	14.4	86.3	26.1	60.3	30.2	61.2	15.9	Forest	1	3	Carnivore	Invertivore	Insessorial	16752202.89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27463176
694	PASSERIFORMES	CINCLIDAE	Cinclus	Cinclus_cinclus	Cinclus_cinclus	4	2	2	0.643853626	0.438388853	0.55112073	8499590.13	519	2	2.405002194	4.1	2.379229571	10.58333333	0	0	Least-Concern	1	decreasing	1	0	0	0	NO	1.216	-0.168	22.1	11.7	3.4	4.4	28.4	88.9	24.5	64.5	27.6	50.1	61.47	Riverine	3	1	Carnivore	Aquatic predator	Generalist	8499590.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3349892
4080	PASSERIFORMES	STURNIDAE	Acridotheres	Acridotheres_tristis	Acridotheres_tristis	15	11	4	1.87013244	1.867946598	1.099156443	8561587.67	347	4	4.119786681	3.9	3.211699055	12.2	0	1	Least-Concern	1	increasing	3	0	0	0	NO	2.499	0.194	26.8	16	6.4	8	38.6	139.8	32.8	106.3	23.6	84.8	116.43	Human Modified	3	2	Carnivore	Omnivore	Terrestrial	8561587.67	1	0	1	0	0	NA	NA	NA	NA	NA	0	59142818
4008	PASSERIFORMES	STURNIDAE	Sturnus	Sturnus_vulgaris	Sturnus_vulgaris	30	14	16	2.239770375	1.891138501	2.150956912	17082191.68	2226	5	5.651302605	4.6	5.650993902	22.92	0	1	Least-Concern	1	decreasing	1	0	0	0	NO	1.99	0.197	30.2	18.5	6.6	6.5	29	128.3	49.2	79.1	38.4	65.8	77.14	Human Modified	3	2	Omnivore	Omnivore	Insessorial	17082191.68	209	2.320146286	113	2.05	96	1.98	33	1.51851394	155	2.190331698	2.598790507	1288846040
4628	PASSERIFORMES	TROGLODYTIDAE	Troglodytes	Troglodytes_aedon	Troglodytes_aedon	4	4	0	0.727712335	1.006685191	-0.498061989	25653883.47	304	2	4.712247941	3.6	2.13714676	9	0	1	Least-Concern	1	increasing	3	0	0	0	NO	0.532	-0.021	15.9	9.8	3	3.1	20.1	51.4	6.7	44.9	12.9	41.1	10.85	Shrubland	3	1	Carnivore	Invertivore	Insessorial	25653883.47	185	2.267171728	147	2.17	8	0.9	804	2.905256049	52	1.716003344	3.01745073	207824996
4629	PASSERIFORMES	TROGLODYTIDAE	Troglodytes	Troglodytes_troglodytes	Troglodytes_troglodytes	4	1	3	0.662783047	0.045896606	0.849960536	15761767.29	460	3	4.907216495	3.5	1.817324234	6.75	0	1	Least-Concern	1	increasing	3	0	0	0	NO	0.485	-0.053	13.8	8.1	2.5	2.7	17.6	48.5	7.6	40.7	15.7	30.5	9.74	Forest	1	3	Carnivore	Invertivore	Insessorial	15761767.29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18682476
5074	PASSERIFORMES	CERTHIIDAE	Certhia	Certhia_familiaris	Certhia_familiaris	4	2	2	0.754016909	0.513886827	0.616055234	15914424.48	257	2	1.680440771	3.4	2.053051576	8.08	0	0	Least-Concern	1	stable	2	0	0	0	NO	0.39	-0.227	18.1	12.2	2	2.6	14.6	64.5	12.4	52.2	19.2	60.3	9	Forest	1	1	Omnivore	Invertivore	Insessorial	15914424.48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4880227
